response id,concerns,concerns category,anything else,anything else category
706,,NC,There is nothing so far.,NC
375,"I am most concerned with keeping up with the course. There is often much math to cover each week, so it is important that I manage my time well so that I am able to sufficiently understand and apply the material.",AC,,NC
310,No fundamental practice after watching videos,OT,No nothing much. Matrices are my worst nighPCare and I hope they go away permanently.,NC
506,NA so far,NC,,NC
177,I am concerned about the lack of guidance from an in-person teacher. I often rely on asking the teacher questions to improve my understanding of certain concepts.,AC,,NC
319,"I'm concerned about getting behind on my work. Since it's an online course, it's very easy to not look at the work for a while and forget about it.",AC,,NC
607,,NC,,NC
630,,NC,None for now. ,NC
579,I'm most concerned that I will not understand the material being taught and that I won't be able to execute my knowledge during the exams. I hope to mitigate this by consistently doing practice exams to prepare myself for the actual exam. ,AC,I am very excited to see how linear algebra and multi build on each other and our understanding of mathematics. I am a little worried about taking the exams on different days but I have been talking to my facilitator and you.,AC
398,N.A.,NC,,NC
32,absolutely the exams and tests; I do poorly under pressure,PC,Nothing :),AC
ACACNC,Im concerned I won't time manage.,NC,none,NC
41,I don't remember a lot of stuff from calc BC.,AC,,NC
5AC0,,NC,,NC
3NC,What concerns me the most is staying focused throughout the whole semester to understand the material as my other classes get difficult as well.,NC,I think I will need additional resources regarding word problems and conceptual work because that was my weakest area in Linear Algebra.,NC
4AC6,"I am concerned about falling behind the daily videos, as I struggled with this towards the end of last semester in Linear Algebra.",AC,I'm very interested in physics and this class will definitely help pursue my passion in that field.,NC
326,NA.,NC,none,NC
450,"I am mostly concerned about being able to fully grasp the content, but that is mostly based on my own personal ability to learn and take the time to study for this course.",AC,,NC
584,,NC,,NC
NC30,I don't have any worries.,NC,"No, there is nothing I would like to mention.",NC
NC76,"From my experience last semester, I felt very unprepared for the final and did not receive the grade that I wanted. Besides that, this course seems reasonable so far. ",PC,,NC
NC89,"My nerves and staying on task. I feel like I understand the material but I let my nerves get the best of me which impacts how I do on my exams. Furthermore, sometimes my weeks are really busy and I don't get time to work on the assignments and have to rush them. I want to space out my time better.¬†",PC,none.,NC
584,,NC,,NC
51,none,NC,The sample exams and quizzes during linear algebra helped out a lot if we could have those for multivariable calc that would be fantastic.,NC
18,"I am a bit concerned that, unlike Linear Algebra, there are not quizzes due each week. Those quizzes not only helped to bolster my grade, but they were extremely useful to better understanding content. I will likely need to seek other sources for better understanding this semester.",AC,none.,NC
458,I am most concerned about not understanding the course and not doing well on exams.,AC,,NC
394,Some concerns that I have include encountering difficult content that would delay the process in which I complete assignments for the class.,AC,,NC
553,,NC,,NC
398,,NC,,NC
531,,NC,,NC
48AC,,NC,None for now. ,NC
349,"I'm worried about balancing time between my internship, other classes, robotics, and this class.",NC,na,NC
497,,NC,,NC
83,"My concerns are just having it be self-guided and not having much guidance. In addition, exams are worth more this semester.",NC,na,NC
490,N.A.,NC,,NC
AC49,I have no concerns yet.,NC,,NC
353,"The most concern is not fully understanding the content even with the help given, and struggling due to the format and wording of some questions. ",AC,"The course seems a little more rigorous, but I think if I just reach out when I need help, I'll be alright.",NC
352,I am most concerned about the exam questions matching the lesson coverage.,NC,,NC
51,,NC,na,NC
189,,NC,,NC
237,"I am mostly concerned about being able to fully grasp the content, but that is mostly based on my own personal ability to learn and take the time to study for this course.",AC,,NC
307,No fundamental practice after watching videos,NC,No nothing much. Matrices are my worst nighPCare and I hope they go away permanently.,NC
450,N.A.,AC,,NC
30NC,Although I said I enjoy the incorporation of physics it also could be a challenge for me. I'm not the greatest at physics but it is just going to have to be part of the process and I'll take more time to understand how to use it in this class. ,AC,I'm very interested in physics and this class will definitely help pursue my passion in that field.,NC
450,,NC,,NC
66AC,,NC,,NC
630,,NC,None for now. ,NC
458,,AC,,NC
669,Probably just making sure I stay caught up.,PC,,NC
34,,NC,,NC
665,,NC,None for now. ,NC
AC36,"From my experience last semester, I felt very unprepared for the final and did not receive the grade that I wanted. Besides that, this course seems reasonable so far. ",AC,na,NC
ACNC8,,NC,,NC
520,absolutely the exams and tests; I do poorly under pressure,OT,,NC
