concerns,concerns category,anything else,anything else category
That all of my knowledge from calc BC escapes my brain.,AC,The sample exams and quizzes during linear algebra helped out a lot if we could have those for multivariable calc that would be fantastic.,AC
"My only concern about this course is that I will have an issue learning one of the fundamental items early in the course, and as a result of that, will struggle later on when building upon that foundational knowledge.",AC,NA,NC
"My only concern is if I'll be able to study/prepare to the same degree for exams that I did last semester, but other than that I feel confident.",AC,NA,NC
"My only concern is that so far the video lessons are not as clear as they were in the linear algebra course. This could just be me, though as they are still very comprehensive.",AC,NA,NC
"One thing that was concerning for me last semester was my mastery on certain topics. There were some topics in linear algebra that I couldn't fully explore due to other work and activities. For MV Calc, I hope to fix this issue by writing notes and practice problems down so that I could review it again in depth later.",AC,NA,NC
"Perhaps not putting forth my greatest effort being a victim of senioritis. I've always been a perfectionist, so it is challenging and dreading to imagine not passing a class with flying colors.",PC,NA,NC
"Some concerns may have might be more technical, such as being unable to access the textbook.",TC,NA,NC
Some concerns that I have include encountering difficult content that would delay the process in which I complete assignments for the class.,AC,NA,NC
"Something that concerns me is not being able to learn properly as it is not in person, but I think the studio sessions and recorded lectures will resolve this.",AC,NA,NC
Studying for the exams.,AC,NA,NC
Taking module tests in MML,AC,NA,NC
Technological issues with the gatech instructure portal.,TC,NA,NC
That I won't do well because of all my other classes. I'm scared I won' succeed and miss a duedate.,AC,NA,NC
That it counts towards my college gpa.,AC,NA,NC
The allocation of the weightage.,AC,NA,NC
The biggest concern I have this semester is preventing sernioritis from taking over and paralyzing my ability to finish work.,AC,NA,NC
The concern I have is the format of the Exams compared to linear algebra.,AC,NA,NC
The effectiveness of studio lessons.,AC,NA,NC
"The exams concern me the most, as I am unsure of the structure of the exams, mainly if they are similar to last semester's course.",AC,NA,NC
The exams since they are given such a large weight.,AC,NA,NC
"The lecture videos this semester skip a number of intermediate steps, so the only mild concern I have right now is being unaware of where numbers may come from during the middle of her solving a problem.",AC,NA,NC
"The most concern is not fully understanding the content even with the help given, and struggling due to the format and wording of some questions.",AC,NA,NC
The one thing that concerns me is the high weightage of the exams and final.,AC,NA,NC
"The percentage for the exams concerns me the most, as the high number puts pressure on students.",AC,NA,NC
The quick pace of the lecture videos and occasional lack of explanation on a problem.,AC,NA,NC
There has been some time since I worked on much of the calculus coursework so it may be a little rusty at the start of this semester.,AC,NA,NC
"There's 2 MML courses (old version and new). I did MML1 on the new version, but the grade didn't change in canvas. When I do a question on the old version, the grade updates.",AC,NA,NC
too much homework,AC,na,NC
What concerns me most about taking the course is that the material may be a little difficult to learn since the course is online.,AC,NA,NC
What concerns me the most about taking this course is being able to balance the large workload of this class along with the large workload of my other classes in a way that enables me to complete and do well on all this class's assignments while also gaining a strong understanding of the information that we are learning.,AC,NA,NC
What concerns me the most about taking this course is not have sufficient time for completing all the material. It is a very small concern.,AC,NA,NC
